Meta Tag,Content
Title,Lebanon's Leading Electronics & Appliances Retailer | Abed Tahan
viewport,"width=device-width,initial-scale=1"
theme-color,
description,"Shop for the best electronics and appliances online in Lebanon. Enjoy the largest variety of top brands, unbeatable prices, and quick delivery. Buy electronics in Lebanon easily today!"
og:site_name,Abed Tahan
og:url,https://abedtahan.com/
og:title,Lebanon's Leading Electronics & Appliances Retailer | Abed Tahan
og:type,website
og:description,"Shop for the best electronics and appliances online in Lebanon. Enjoy the largest variety of top brands, unbeatable prices, and quick delivery. Buy electronics in Lebanon easily today!"
og:image,http://abedtahan.com/cdn/shop/files/New_Banner_Design.jpg?v=1724926670
og:image:secure_url,https://abedtahan.com/cdn/shop/files/New_Banner_Design.jpg?v=1724926670
og:image:width,1200
og:image:height,628
twitter:card,summary_large_image
twitter:title,Lebanon's Leading Electronics & Appliances Retailer | Abed Tahan
twitter:description,"Shop for the best electronics and appliances online in Lebanon. Enjoy the largest variety of top brands, unbeatable prices, and quick delivery. Buy electronics in Lebanon easily today!"
google-site-verification,3pdRsmMsl9rLOzSOefpiGO6X6RG4GmZ4iCGBYmLhBsI
shopify-digital-wallet,/60565684403/digital_wallets/dialog
shopify-checkout-api-token,29dfeefa994b9f0d42662336918c63b1
google-site-verification,3pdRsmMsl9rLOzSOefpiGO6X6RG4GmZ4iCGBYmLhBsI
wishlist_shop_current_currency,${{amount_no_decimals}}
