Main Category,Subcategory,Items
Brands,N/A,"Sage, TCL, Ninja, Gorenje, Black & Decker, Super Chef, Samsung, Apple, Sony, Hisense, Dyson"
"Homeware, Deco & Kitchenware",Bathrooms,"Bathroom Accessories, Bath Linens"
"Homeware, Deco & Kitchenware",Bedding,"Bed Sheets, Bed Covers, Bed Essentials"
"Homeware, Deco & Kitchenware",Decoration,Home Accents
"Homeware, Deco & Kitchenware",Kitchen Ware,"Coffee & Tea, Cutlery & Knives, Food & Storage, Linens, Tools & Utensils"
"Homeware, Deco & Kitchenware",Table Ware,"Breakfast, Cutlery, Dinner Ware, Drink Ware, Serve Ware, Table Linens"
"Homeware, Deco & Kitchenware",Organizations,"Clothing Storage & Laundry, Storage Items, Trashcans"
"Homeware, Deco & Kitchenware",Cookware,N/A
TV & Audio,TELEVISIONS,"8K Televisions, 4K Televisions, QNED TVs, QLED TVs, OLED TVs, Mini LED TVs"
TV & Audio,BY SCREEN SIZE,"80"" and Above, 76"" - 79"", 70"" - 75"", 65"" - 69"", 55"" - 59"", 50"" - 54"", 40"" - 45"", 28"" - 32"""
TV & Audio,TV ACCESSORIES,"Streaming Devices, Cables & Connectors, TV Brackets, TV Stands"
TV & Audio,EARPHONES & HEADPHONES,"Apple Airpods, Samsung Galaxy Buds, Noise Cancellation Headphones, Wireless headphones and earphones, Wireless Earbuds, Gaming Headsets, Wired Earphones & Headphones"
TV & Audio,SPEAKERS,"Wireless Speakers, Personal Bluetooth Speakers, Home Audio & Soundbars"
TV & Audio,AUDIO DEVICES,"Home Audio & Soundbars, Microphones, Projectors, DVD and Blu-Ray Players"
Mobiles & Tablets,Mobiles,"iPhones, Android Smartphones"
Mobiles & Tablets,Mobile Accessories,"Apple Accessories, Adapters, Cables, Cases & Covers, Screen Protectors, Power Bank, Car & Travel Accessories"
Mobiles & Tablets,Tablets,"iPads, Tablets"
Mobiles & Tablets,Tablet Accessories,"Stylus Pens, Tablet Covers, Tablet Screen Protectors, Memory Cards"
Mobiles & Tablets,Wearables,"Smart Watches, Fitness Trackers, Smart Glasses, Virtual Reality Headsets"
Laptops & Computers,Laptops,"MacBooks, Office Laptops, 2-in-1 Detachable Laptops, Basic Laptops, Gaming Laptops"
Laptops & Computers,Computers,Desktop Computers
Laptops & Computers,Accessories,"Monitors, Printers, Ink & Toners, Mice & Keyboards, Headsets & Microphones, Routers, UPS & Surge Protectors, USB Flash Drives, Laptop Bags, Software, Hard Drive, SSD & Storage, Touch Pads & Motion"
Electronics,Cameras,"Drones, Photo Printers, Action Cameras, DSLR Cameras, Mirrorless Cameras, Instant Cameras"
Electronics,Cameras Accessories,"Tripods & Monopods, Memory Cards, Camera Bags, Camera Lenses"
Electronics,Consoles & Gaming,"Gaming Consoles, Games/Titles, Gaming Monitors, Gaming Chairs, Gaming Accessories, Drones & Toys, Scooters & Boards"
Electronics,Wearables,"Smart Watches, Fitness Trackers, Smart Glasses, VRs"
Electronics,Musical Instruments,N/A
Small Kitchen Appliances,Cooking,"Air Fryers, Deep Fryers, Cookers, Ovens"
Small Kitchen Appliances,Food Preparations,"Blenders, Mixers, Food Processors, Microwaves"
Small Kitchen Appliances,Cookware & Bakeware,"Cookware, Trays, Bakeware"
Small Kitchen Appliances,Breakfast,"Coffee Machines, Coffee & Tea, Coffee Pods/Capsules, Coffee & Travel Mugs, Kettles, Juice Extractors"
Small Kitchen Appliances,Fun Cooking,"Cotton Candy & Chocolate Fountains, Waffles & Crepe Makers, Ice Cube, Ice Cream & Yoghurt Makers, Saj Machines"
Kitchen Appliances,Refrigerators,N/A
Kitchen Appliances,Freezers,N/A
Kitchen Appliances,Microwaves,N/A
Kitchen Appliances,Range Hoods,N/A
Kitchen Appliances,Cooktops,N/A
Kitchen Appliances,Water Dispensers,N/A
Kitchen Appliances,Dishwashers,N/A
Kitchen Appliances,Cookers,N/A
Laundry & Garment Care,Washers,N/A
Laundry & Garment Care,Dryers,N/A
Laundry & Garment Care,Washer/Dryers,N/A
Laundry & Garment Care,Irons,N/A
Laundry & Garment Care,Steamers,N/A
Laundry & Garment Care,Iron Boards & Drying Racks,N/A
Floor & Carpet Care,Carpet Cleaners,N/A
Floor & Carpet Care,Steam Mops,N/A
Floor & Carpet Care,Sweepers,N/A
Floor & Carpet Care,Robot Vacuums,N/A
Floor & Carpet Care,Vacuum Cleaners,"Drum/Barrel Vacuums, Canister Vacuums, Cordless Vacuums, Upright Vacuums"
Floor & Carpet Care,Water Pressure Machines,N/A
Floor & Carpet Care,Vacuum & Floor Care Accessories,N/A
"Heating, Cooling & Air Quality",Air Conditioners,N/A
"Heating, Cooling & Air Quality",Air Purifiers,N/A
"Heating, Cooling & Air Quality",Humidifiers,N/A
"Heating, Cooling & Air Quality",Heaters,N/A
"Heating, Cooling & Air Quality",Dehumidifiers,N/A
"Health, Fitness & Beauty",Sports & Fitness,"Weights & Benches, Treadmills, Exercise Bikes, Home Gym, Soccer & tennis Tables, Multi-Player Games"
"Health, Fitness & Beauty",Hair Care,"Hair Dryers, Hair Straighteners, Hair Curlers, Hair Stylers"
"Health, Fitness & Beauty",Shaving & Hair Removal,"Men's Shavers, Women's Hair Removal, Trimmers & Groomers, Hair Clippers, IPLs"
"Health, Fitness & Beauty",Personal Scales,N/A
"Health, Fitness & Beauty",Health Care,N/A
"Health, Fitness & Beauty",Massagers,N/A
Outdoor Living & Seasonal Items,Pizza Ovens,N/A
Outdoor Living & Seasonal Items,BBQ Grills,N/A
Outdoor Living & Seasonal Items,Bug Zappers,N/A
Outdoor Living & Seasonal Items,Outdoor Heaters,N/A
Outdoor Living & Seasonal Items,Swimming & Leisure,N/A
Outdoor Living & Seasonal Items,Water Pressure Machines,N/A
Safes & Home Security,Safes,N/A
Safes & Home Security,Home Security,N/A
