Main Category,Subcategory,Items
Home Appliances,"COOLING, HEATING & AIR QUALITY","Air Conditioners, Air Coolers, Air Purifiers, Dehumidifiers, Fans, Heating, Humidifiers"
Home Appliances,LARGE APPLIANCES,"Built-in Coffee Makers, Cookers, Dishwashers, Dryers, Freezers, Hobs, Hoods, Microwaves, Ovens, Refrigerators, Warming Drawers, Washer Dryers, Washing Machines, Water Dispensers, Wine Coolers & Cigar Humidors"
Home Appliances,SMALL APPLIANCES,"Breakfast, Electric Ovens, Food Preparation, Garment Care, Grills, Specialty Appliances, Vacuums & Floor Care"
Books & Stationery,BOOKS,"Cooking Crafts & Home, Children's Books, Education & Teaching"
Books & Stationery,STATIONERY,"Bags, Office & School Supplies"
Electronics,MOBILES & TABLETS,"Ipad & Tablets, Landlines, Mobiles, Mobiles & Tablets Accessories"
Electronics,HOME AUDIO & VIDEO,"Audio, AV Accessories, Blu-Ray & DVD Players, Cameras, Projectors, Televisions, TV Brackets & Stands"
Electronics,COMPUTERS & ACCESSORIES,"Computer Accessories, Computer Software, Ink&Toners, Laptops, Media Storage, Monitors, Printers & Scanners"
Electronics,GAMING ZONE,"Gaming Accessories, Gaming Consoles, Video Games"
Beauty & Healthcare,EYE CARE,Sunglasses & Eyeglasses
Beauty & Healthcare,HEALTHCARE,"Blood Pressure Monitors, Electric Massagers, Heating Pads, Medical Products, Oral Care, Pain therapy and muscle stimulation, Personal Scales, Thermometers, Wellness & Relaxation"
Beauty & Healthcare,PERSONAL CARE,"Body Care, Epilators, Face Care, Foot, Hand & Nail Care, Hair Care, Men Grooming, Mirrors"
Home & Kitchen,BED & BATH,"Bathroom Accessories, Kitchen & Bath Fixtures, Blankets & Throws, Hand Dryers"
Home & Kitchen,HOME & DECO,"Bins & Containers, Cups & Mugs, Gardening Pots, Home Decoration, Storage & Organization, Tableware"
Home & Kitchen,Gardening Pots,N/A
Home & Kitchen,KITCHEN & DINING,"Bakeware & Accessories, Cookware & Accessories, Kitchen Gadgets, Kitchen Scales, Knife and Cutlery Accessories, Serveware, Tea and Coffee Service"
Home & Kitchen,TOOLS & HOME IMPROVEMENT,"Cameras & Smart Locks, Emergency & Flash Lights, Hand Tools, Light Bulbs, Floor light, Desk Light, Power Tools, Safety & Security"
Sports & Outdoors,OUTDOORS,"Camping & Hiking, Garden Accessories, Grills & Outdoor Cooking, Insect Killer"
Sports & Outdoors,SPORTS & FITNESS,"Skateboards , Scooters & Bicycles, Trackers, Tennis & Racquet Sports, Sport Activities & Trampolines, Sports Equipment"
Sports & Outdoors,POOLS & WATER TOYS,"Beach & Pool Accessories, Pools & Inflatable"
Baby & Toys,TOYS & GAMES,"Arts & Crafts, Baby Toys, Building and Blocks, Card Games, Cars & Bicycles, Costumes & Accessories, Characters & Action Figures, Dolls & Princesses, Electronic Games, Games and Puzzles, Interactive & Learning Toys, Playhouses, Table & Swings, Soft Toys, Vehicles, Circuits & Guns"
Baby & Toys,BABY & TODDLER,"Bath Time, Baby Health & Safety, Bouncers Walkers & Baby Chairs, Car Seats & Strollers, Feeding, Meal Time, Relaxation & Sleep Time"
Sale!,SPECIAL OFFERS!,"Offers Audio Video, Offers Big Appliances, Offers IT, Offers Personal Care & Health care, Offers Small Appliances, Offers Sports & outdoors"
Gift Card,N/A,N/A
Wedding List,N/A,N/A
