Meta Tag,Content
Title,Beytech | House Of Ideas
viewport,"width=device-width, initial-scale=1"
description,"Experience The Future of Electronics | Shop Now Online or In-Store at Beytech; member of Antaki Holding Gppk, Beirut Lebanon"
robots,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
og:locale,en_US
og:type,website
og:title,Beytech | House Of Ideas
og:description,"Experience The Future of Electronics | Shop Now Online or In-Store at Beytech; member of Antaki Holding Gppk, Beirut Lebanon"
og:url,https://beytech.com.lb/
og:site_name,Beytech
og:updated_time,2025-04-08T16:03:28+03:00
article:published_time,2020-10-11T11:02:32+03:00
article:modified_time,2025-04-08T16:03:28+03:00
twitter:card,summary_large_image
twitter:title,Beytech | House Of Ideas
twitter:description,"Experience The Future of Electronics | Shop Now Online or In-Store at Beytech; member of Antaki Holding Gppk, Beirut Lebanon"
twitter:label1,Written by
twitter:data1,admin
twitter:label2,Time to read
twitter:data2,8 minutes
generator,WordPress 6.7.2
msapplication-TileImage,https://beytech.com.lb/wp-content/uploads/2020/09/cropped-Beytech-Favicon-PNG-64-270x270.png
