Main Category,Subcategory,Items
ELECTRONICS,TVs,"LG, Samsung, Hyundai, Campomatic, Hisense, Other"
ELECTRONICS,Audio & Video,"TV Smart Box, Speakers & Home theatres, Bluetooth Speakers, Projectors, Landlines"
ELECTRONICS,Cameras,"Camera's Accessories, Drones"
ELECTRONICS,Computers,"Laptops, Computer Accessories, Ink & Toners, Networking & Routers, Computer Monitors, Backups & Software, Printers and Scanners, UPS, Storage Devices"
ELECTRONICS,Musical Instruments,"Piano & Keyboards, Sound Bar, Microphones"
ELECTRONICS,Gaming,"Sony Playstation, Gaming Accessories, Titles"
MOBILES & TABLETS,Mobile,"Samsung, Apple, Other"
MOBILES & TABLETS,Tablets,Tablets
MOBILES & TABLETS,Accessories,"Power Banks & Chargers, Bluetooth Devices, Mobile Accessories, Smart Watches, Headsets"
HOME APPLIANCES,Large Appliances,"Freezers, Refrigerators, Washing Machines, Washers-Dryers, Dryers, Dishwashers, Table Tops, Water Dispensers, Cookers, Range Hoods, Range Hobs, Built-In Ovens"
HOME APPLIANCES,Carpet & Floor Care,"Upright Vacuums, Vacuum Canisters, Accessories, Water Pressures"
HOME APPLIANCES,Air Care,"Air Conditioners, Fans, Humidifiers, Air Purifier, Dehumidifiers, Cigar Humidor, Heaters"
HOME APPLIANCES,Grills & BBQ,"Contact Grills, BBQ & Accessories"
HOME APPLIANCES,Garment Care,"Steam Irons, Dry Stands, Vertical Steamers, Iron Boards"
HOME APPLIANCES,Home Smart,"Emergency Lights, Home Improvement, Safe cabine, Lithium Batteries"
KITCHEN APPLIANCES,Food Preparation,"Food Processors, Kitchen Machines, Stand Blenders, Hand Blenders, Fryers, Hand Mixers, Stand Mixers, Choppers, Juicers & Juice Extractors, Steamers & Rice Cookers, Electric Ovens, Microwaves, Kitchen Accessories"
KITCHEN APPLIANCES,"Coffee, Tea & Breakfast","Espresso Machines, Coffee Drip Machines, Kettles, Toasters"
KITCHEN APPLIANCES,Fun Cooking,"Popcorn Makers, Crepe Makers, Raclette Makers, Fontaine, Fondue, Ice Cream Makers, Waffle Maker, Cake Maker"
KITCHEN APPLIANCES,Kitchenware,"Victorinox Knifes, Storage, Tefal Cookware, Pans And Pots, Pyrex, Kitchen Scales, Swiss Diamond"
BEAUTY & SPORTS,Hair Care,"Hair Straighteners, Hair Curlers, Hair Dryers, Brushes, Shavers & Trimmers"
BEAUTY & SPORTS,Skin Care,"Epilators, Foot Care, IPL Laser"
BEAUTY & SPORTS,Medical Care,"Thermometers, Toothbrush, Monitors"
BEAUTY & SPORTS,Sport Machines,"Treadmills, Exercise Bikes, Massage Chairs, Accessories, Gym Balls, Scooter"
NEW ARRIVALS,N/A,N/A
HELLO SPRING 🌸,N/A,N/A
