Meta Tag,Content
Title,Kotob City - Sami Kotob Trading
viewport,"width=device-width, initial-scale=1"
description,"Since 1975, Sami Kotob Trading has grown steadily and enhanced its business through top brands with Kotob City being his retail shops."
robots,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
og:locale,en_US
og:type,website
og:title,Kotob City - Sami Kotob Trading
og:description,"Since 1975, Sami Kotob Trading has grown steadily and enhanced its business through top brands with Kotob City being his retail shops."
og:url,https://samikotob.com/
og:site_name,Kotob City
og:updated_time,2025-03-01T11:25:48+00:00
og:image,https://samikotob.com/wp-content/uploads/2025/02/kotobcity-.jpg
og:image:secure_url,https://samikotob.com/wp-content/uploads/2025/02/kotobcity-.jpg
og:image:width,1200
og:image:height,630
og:image:alt,Kotob City
og:image:type,image/jpeg
twitter:card,summary_large_image
twitter:title,Kotob City - Sami Kotob Trading
twitter:description,"Since 1975, Sami Kotob Trading has grown steadily and enhanced its business through top brands with Kotob City being his retail shops."
twitter:image,https://samikotob.com/wp-content/uploads/2025/02/kotobcity-.jpg
twitter:label1,Written by
twitter:data1,Maher Dib
twitter:label2,Time to read
twitter:data2,13 minutes
generator,WordPress 6.7.2
google-site-verification,WIAOfKub_bKDuRdAVKK4MAMtpMFqjiGWDiYPXbIaL50
msapplication-TileImage,https://samikotob.com/wp-content/uploads/2025/02/cropped-Favicon-Kotob-City-270x270.png
